Equipo,NPartidos_Jugados,Goles,Tiros pp,Tarjetas Amarillas,Tarjetas Rojas,Posesion%,AciertoPase%,Rating,Local_Wins,Local_Draws,Local_Losses,Visitor_Wins,Visitor_Draws,Visitor_Losses,Goals_Local,Goals_Visitor,%GanecomoLocal,%GaneComoVisitante,%EmpateLocal,%EmpateVisitante
Manchester City,38,96,18.2,52,2,65.4,90.5,6.97,14,5.0,0.0,14,2,3,51,45,36.84210526315789,36.84210526315789,13.157894736842104,5.263157894736842
Arsenal,38,91,17.3,62,2,58.4,86.8,6.87,15,2.0,2.0,13,3,3,48,43,39.473684210526315,34.21052631578947,5.263157894736842,7.894736842105263
Liverpool,38,86,20.8,65,5,61.3,85.8,6.86,15,3.0,1.0,9,7,3,49,37,39.473684210526315,23.684210526315788,7.894736842105263,18.421052631578945
Newcastle,38,85,14.5,77,1,52.2,82.7,6.78,12,4.0,3.0,6,2,11,49,36,31.57894736842105,15.789473684210526,10.526315789473683,5.263157894736842
Chelsea,38,77,14.4,105,4,59.0,87.5,6.74,11,4.0,4.0,7,5,7,44,33,28.947368421052634,18.421052631578945,10.526315789473683,13.157894736842104
Tottenham,38,74,15.4,89,4,62.0,87.4,6.72,13,0.0,6.0,7,6,6,38,36,34.21052631578947,18.421052631578945,0.0,15.789473684210526
Crystal Palace,38,57,12.0,69,2,41.6,79.2,6.71,8,4.0,7.0,5,6,8,37,20,21.052631578947366,13.157894736842104,10.526315789473683,15.789473684210526
West Ham,38,60,11.8,76,3,40.5,79.1,6.7,7,8.0,4.0,7,2,10,31,29,18.421052631578945,18.421052631578945,21.052631578947366,5.263157894736842
Manchester United,38,57,14.5,81,1,50.4,82.7,6.69,10,3.0,6.0,8,3,8,31,26,26.31578947368421,21.052631578947366,7.894736842105263,7.894736842105263
Everton,38,40,13.3,80,1,40.1,75.6,6.68,8,4.0,7.0,5,5,9,22,18,21.052631578947366,13.157894736842104,10.526315789473683,13.157894736842104
Aston Villa,38,76,13.6,94,2,52.8,85.6,6.67,12,4.0,3.0,8,4,7,48,28,31.57894736842105,21.052631578947366,10.526315789473683,10.526315789473683
Bournemouth,38,54,14.3,79,3,44.0,77.1,6.62,7,6.0,6.0,6,3,10,27,27,18.421052631578945,15.789473684210526,15.789473684210526,7.894736842105263
Wolves,38,50,11.3,100,4,48.6,82.4,6.61,8,3.0,8.0,5,4,10,26,24,21.052631578947366,13.157894736842104,7.894736842105263,10.526315789473683
Fulham,38,55,13.2,78,4,50.3,82.5,6.61,9,2.0,8.0,4,6,9,31,24,23.684210526315788,10.526315789473683,5.263157894736842,15.789473684210526
Brentford,38,56,12.4,89,2,44.9,76.6,6.61,5,7.0,7.0,5,2,12,29,27,13.157894736842104,13.157894736842104,18.421052631578945,5.263157894736842
Nottingham Forest,38,49,11.9,78,3,40.1,78.7,6.57,5,5.0,9.0,4,4,11,27,22,13.157894736842104,10.526315789473683,13.157894736842104,10.526315789473683
Brighton,38,55,14.8,91,3,60.2,89.0,6.57,8,6.0,5.0,4,6,9,30,25,21.052631578947366,10.526315789473683,15.789473684210526,15.789473684210526
Luton,38,52,11.4,71,0,41.8,76.1,6.54,4,4.0,11.0,2,4,13,28,24,10.526315789473683,5.263157894736842,10.526315789473683,10.526315789473683
Burnley,38,41,11.4,71,7,46.9,79.5,6.47,2,4.0,13.0,3,5,11,19,22,5.263157894736842,7.894736842105263,10.526315789473683,13.157894736842104
Sheffield United,38,35,9.6,95,5,35.0,72.3,6.36,2,4.0,13.0,1,3,15,19,16,5.263157894736842,2.631578947368421,10.526315789473683,7.894736842105263
